RecordingId,Serial,Categories,TrafficStop
"66ddb412-cb77-e911-272a-215b944ecfc2",D01A2754Y,"Traffic Stop",1
"66ddba16-f82a-772c-b91a-215b944f9af3",D01A2899V,"Traffic Stop",1
"66ddba5f-0db6-22ba-b2fa-215b944ecfc2",D01A2754Y,"Traffic Stop",1
"66ddbadc-b0bb-a332-0dc3-215b944be82c",D01A23298,"Traffic Stop",1
"66ddbfa6-3289-8e4f-c5dd-215b944ecfc2",D01A2754Y,"Call for service",0
"66ddc0a0-6b1b-9112-125f-215b944be82c",D01A23298,"Call for service",0
"66ddc124-b0b5-33ae-aec3-215b944f7c6c",D01A2838S,"Call for service",0
"66ddc209-f779-0dc9-e9d6-215b944ecfc2",D01A2754Y,"Call for service",0
"66ddc619-d5f3-16f3-9e86-215b944ecfc2",D01A2754Y,"Traffic Stop",1
"66ddc73b-40fd-6b49-798c-215b944ecfc2",D01A2754Y,"Traffic Stop",1
"66ddc749-0f7b-53a9-4d77-215b944be82c",D01A23298,"Traffic Stop",1
"66ddcd4f-aed2-5319-5112-215b944be82c",D01A23298,"Call for service",0
"66ddd321-59f5-a5eb-daa2-215b944be82c",D01A23298,"Call for service",0
"66ddd34a-d09b-456d-ee64-215b944ecfc2",D01A2754Y,"Call for service",0
"66dde554-a640-7643-1166-215b944d6849",D01A2564P,"Call for service",0
"66ddeb16-e644-67c5-7ef1-215b944ecfc2",D01A2754Y,"Traffic Stop",1
"66ddebd0-adbe-92de-07c7-215b944be82c",D01A23298,"Traffic Stop",1
"66ddebff-1cc6-f228-f9b7-215b944f9af3",D01A2899V,"Traffic Stop",1
"66ddec1f-2170-245e-5c4c-215b944d6849",D01A2564P,"Call for service",0
"66ddf1e3-c7bf-a569-685a-215b944ecfc2",D01A2754Y,"Traffic Stop",1
"66ddf2b7-48f1-b94e-ad52-215b944f9af3",D01A2899V,"Traffic Stop",1
"66ddfbf4-2ed7-235f-2f50-215b944be82c",D01A23298,"Traffic Stop",1
"66ddfbfc-d688-6d36-ecac-215b944ecfc2",D01A2754Y,"Traffic Stop",1
"66ddfd4a-1415-50ff-7e87-215b944d6849",D01A2564P,"Traffic Stop",1
"66de0005-4d2b-14f8-6ef4-215b944f9af3",D01A2899V,"Traffic Stop",1
"66de0258-06c7-b731-c607-215b944be82c",D01A23298,"Traffic Stop",1
"66de0495-cf6f-472f-284b-215b944ecfc2",D01A2754Y,"Traffic Stop",1
"66de0523-e5e3-90cc-061d-215b944be82c",D01A23298,"Traffic Stop",1
"66de0539-24cd-cf72-397f-215b944f9af3",D01A2899V,"Traffic Stop",1
"66de0be8-bb6b-54cb-c9ea-215b944f9af3",D01A2899V,"Traffic Stop",1
"66de0e5a-2820-440d-9edf-215b944ecfc2",D01A2754Y,"Traffic Stop",1
"66de2be0-1573-26b6-5d5c-215b944ed040",D01A2758G,"Call for service",0
"66de2de8-12b2-4668-3b73-215b944d681b",D01A2563F,"Call for service",0
"66de309b-de84-a9ba-d631-215b944d681b",D01A2563F,"Call for service",0
"66de30bc-2a5f-bc08-860e-215b944ed040",D01A2758G,"Call for service",0
"66de3bfd-08fc-d720-4afc-215b944d681b",D01A2563F,"Call for service",0
"66de3c78-f0f7-cc98-f194-215b944ed040",D01A2758G,"Call for service",0
"66de409f-a812-fa21-7ae4-215b944d681b",D01A2563F,"Call for service",0
"66de4199-33aa-bcea-68cc-215b944ed040",D01A2758G,"Call for service",0
"66de42e5-8249-82ab-785b-215b94822644",D01A4796S,"Call for service",0
"66de43c6-1f7c-dcf0-daa3-215b944ed040",D01A2758G,Arrest,0
"66de4f4d-04f2-9590-1376-215b944d681b",D01A2563F,"Call for service",0
"66de5e87-8c46-323a-665e-215b94822644",D01A4796S,"Traffic Stop",1
"66de5ff0-9dcc-87f8-6be0-215b94822644",D01A4796S,"Call for service,Domestic Battery",0
"66de6021-a56f-0315-3754-215b944d681b",D01A2563F,"Call for service",0
"66de778d-45f5-a902-a071-215b944d681b",D01A2563F,"Traffic Stop",1
"66de7870-3c59-c902-7aa9-215b94822644",D01A4796S,"Traffic Stop",1
"66de7aa4-c8ff-a61b-344b-215b94822644",D01A4796S,"Internal Investigation",0
"66de7aa6-4111-aa7b-5428-215b944ed040",D01A2758G,"Arrest,Traffic Stop",1
"66de92f0-2156-59cb-1a42-215b944d681b",D01A2563F,"Call for service",0
"66deb267-d887-4e72-e288-215b944ed040",D01A2758G,"Traffic Stop",1
"66deef45-260b-8066-6c33-215b945028a4",D01A2919G,"Call for service",0
"66def104-2801-2f05-c86d-215b944bec0d",D01A2330T,"Call for service",0
"66def108-df36-5191-cf8a-215b944b31bb",D01A2227V,"Call for service",0
"66defcdb-57aa-3b78-2924-215b945028a4",D01A2919G,"Call for service",0
"66df01d6-4907-47a5-8964-215b944b31bb",D01A2227V,"Call for service",0
"66df01e0-6b13-9b5d-d366-215b944bec0d",D01A2330T,"Call for service",0
"66df0907-e5b3-1244-056f-215b945028a4",D01A2919G,"Call for service",0
"66df22da-8e9d-b808-e97c-215b945028a4",D01A2919G,"Call for service",0
"66df2ed8-5a65-6d4d-bde0-215b944f8fc8",D01A2872G,"Accidental Recording",0
"66df38d4-8dc5-4b2c-1b37-215b945028a4",D01A2919G,"Traffic Stop",1
"66df3ea4-9f9c-9474-2785-215b944bec0d",D01A2330T,"Call for service",0
"66df3f48-b6ac-a576-b778-215b945028a4",D01A2919G,"Call for service",0
"66df42fa-1131-66d4-de96-215b945028a4",D01A2919G,"Call for service",0
"66df44d9-619e-8f2b-4240-215b944bec0d",D01A2330T,"Call for service",0
"66df450f-0f76-f945-ff5b-215b945028a4",D01A2919G,"Call for service",0
"66df45bc-4cb4-8cbd-a946-215b944bec0d",D01A2330T,"Call for service",0
"66df47d8-a91e-cd74-5da9-215b944b5456",D01A2291Y,"Traffic Stop",1
"66df4fb9-11e9-b694-7a27-215b944d681b",D01A2563F,"Traffic Stop",1
"66df526d-f8f3-f5f9-89d8-215b944bec0d",D01A2330T,"Call for service",0
"66df541c-82d5-3f74-c31c-215b945028a4",D01A2919G,"Call for service",0
"66df5807-901e-6456-3909-215b944bec0d",D01A2330T,"Call for service",0
"66df7667-4ecd-54c6-8296-215b945028a4",D01A2919G,"Call for service",0
"66df7b37-8dec-448b-c1e2-215b94822644",D01A4796S,"Traffic Stop",1
"66df7c40-876e-2646-99c0-215b944d681b",D01A2563F,"Call for service",0
"66df84ea-c26d-76fa-0142-215b94822644",D01A4796S,"Call for service",0
"66df8737-2b41-7b1a-ce7d-215b944d681b",D01A2563F,"Call for service",0
"66df891e-78a7-1877-ffea-215b94822644",D01A4796S,"Call for service",0
"66df894c-353c-e713-70ca-215b944d681b",D01A2563F,"Call for service",0
"66df8ddf-afbc-224e-1794-215b944d681b",D01A2563F,"Traffic Stop",1
"66df9c8b-ff2d-d84a-cde2-215b944ed040",D01A2758G,"Call for service",0
"66df9dc0-efc5-628e-53d7-215b944d681b",D01A2563F,"Call for service",0
"66df9dc4-5832-29de-7b6a-215b94822644",D01A4796S,"Call for service",0
"66dfa050-91ca-63ad-bdd2-215b944ed040",D01A2758G,"Call for service",0
"66dfa650-19df-518a-fe59-215b944d681b",D01A2563F,"Traffic Stop",1
"66dfb7d3-3ddf-bd29-b679-215b94822644",D01A4796S,"Call for service",0
"66dfbef2-50c2-d051-5080-215b944d681b",D01A2563F,"Call for service",0
"66dfd306-3834-ba91-575a-215b94822644",D01A4796S,"Call for service",0
"66dfe374-5df9-5fb2-839e-215b944ed040",D01A2758G,"Traffic Stop",1
"66dfe887-d8a4-cc76-532a-215b944ed040",D01A2758G,"Traffic Stop",1
"66dff18f-bda2-c4ea-b6a4-215b944ed040",D01A2758G,"Traffic Stop",1
"66e053f4-b2ef-64f9-1618-215b944bec0d",D01A2330T,"Call for service",0
"66e058cb-7f28-fb0a-3a9b-215b945028a4",D01A2919G,"Call for service",0
"66e05996-5997-8ff2-2774-215b945028a4",D01A2919G,"Call for service",0
"66e0642c-42a9-2c81-aa14-215b944bec0d",D01A2330T,"Arrest,Domestic Battery",0
"66e06462-2a44-c8fc-1222-215b945028a4",D01A2919G,"Call for service",0
"66e0652d-bde6-3f2e-d302-215b945040bf",D01A2960V,"Call for service",0
"66e0657e-f5ec-50ec-826b-215b944f8fc8",D01A2872G,Arrest,0
"66e068f0-fe9e-16b5-c3b6-215b944bec0d",D01A2330T,"Call for service",0
"66e068fb-10a9-8898-a9d7-215b945040bf",D01A2960V,"Call for service",0
"66e06a61-aff0-99f1-7378-215b944bec0d",D01A2330T,"Traffic Stop",1
"66e074ba-37c5-3fc9-6802-215b945028a4",D01A2919G,"Traffic Stop",1
"66e07c57-30df-517b-5659-215b945028a4",D01A2919G,"Call for service",0
"66e08e0a-ace9-eb75-460f-215b945028a4",D01A2919G,"Traffic Stop",1
"66e091e9-6ede-8200-afd2-215b945028a4",D01A2919G,"Call for service",0
"66e0ca14-7d1c-8964-d409-215b94503c42",D01A2954Y,"Call for service",0
"66e0cbe9-87f9-b341-44fa-215b94503c42",D01A2954Y,"Call for service",0
"66e0e9dc-398c-e3dd-9e33-215b94503c42",D01A2954Y,"Arrest,Call for service,Criminal Investigation",0
"66e0e9de-4e0a-66e2-67f6-215b944a9942",D01A2183M,"Call for service,Domestic Battery",0
"66e0ee5e-46e1-3229-0797-215b944a9942",D01A2183M,"Call for service,Criminal Investigation,Domestic Battery",0
"66e0f372-2db7-07c9-1ae3-215b944a9942",D01A2183M,"Civilian Complaint,Domestic Battery,Call for service",0
"66e105ad-11e3-2b31-8c06-215b94503c42",D01A2954Y,Arrest,0
"66e12ec8-dd10-3715-3f99-215b94503c42",D01A2954Y,"Call for service",0
"66e132ad-1ea9-ba2f-5889-215b94503c42",D01A2954Y,"Call for service",0
"66e1737c-479c-3ac7-c2b6-215b944ecfc2",D01A2754Y,"Traffic Stop",1
"66e174e8-e30b-e6f6-02cb-215b944be82c",D01A23298,"Traffic Stop",1
"66e174f1-1b1b-5002-ac84-215b944ecfc2",D01A2754Y,"Traffic Stop",1
"66e1802f-1279-953b-4302-215b944be82c",D01A23298,"Call for service",0
"66e18dc2-0006-68db-e05d-215b944be82c",D01A23298,"Traffic Stop",1
"66e193d2-0854-a710-ff82-215b944ecfc2",D01A2754Y,"Traffic Stop",1
"66e1995d-d4a7-061b-b1d1-215b945040bf",D01A2960V,"Call for service",0
"66e1a0d6-ceca-196d-1bdd-215b944be82c",D01A23298,"Arrest,Call for service",0
"66e1b2d6-150a-1090-499e-215b944be82c",D01A23298,"Accidental Recording",0
"66e1b2d6-9c60-5ce7-1b96-215b945040bf",D01A2960V,"Accidental Recording",0
"66e1b2d6-ad50-3999-324c-215b944ecfc2",D01A2754Y,"Call for service",0
"66e1b559-fe69-9d06-b5fb-215b945040bf",D01A2960V,"Call for service",0
"66e1b797-da45-beb7-d63b-215b944f7c6c",D01A2838S,"Call for service",0
"66e1c369-3b57-99b7-addf-215b944d6849",D01A2564P,"Call for service",0
"66e1c72f-897f-c0da-0872-215b945040bf",D01A2960V,"Traffic Stop",1
"66e1cb83-e1eb-cecb-33fb-215b944d6849",D01A2564P,Arrest,0
"66e1cb9a-09ac-bbc1-689f-215b944be82c",D01A23298,"Call for service,Arrest",0
"66e1cbeb-0f93-5ce5-8f02-215b944f9af3",D01A2899V,"Call for service",0
"66e1cc14-fe22-622e-b6c9-215b944ecfc2",D01A2754Y,"Call for service",0
"66e1ccae-1463-6f5f-b079-215b945040bf",D01A2960V,"Call for service",0
"66e1cfb9-c6c4-5250-fba6-215b944f9af3",D01A2899V,"Call for service",0
